"time","symbol","open","high","low","close","volume"
"2010-12-16 00:00:00+00","ZS.c.0","1295.5","1303.75","1285","1289",83520
"2010-12-17 00:00:00+00","ZS.c.0","1288.75","1300","1283.5","1298.75",75713
"2010-12-20 00:00:00+00","ZS.c.0","1302.75","1318.25","1295.5","1314.5",72816
"2010-12-21 00:00:00+00","ZS.c.0","1315.25","1328","1311.5","1324.5",69752
"2010-12-22 00:00:00+00","ZS.c.0","1324.5","1333","1317.5","1329.5",56101
"2010-12-23 00:00:00+00","ZS.c.0","1329.25","1355","1328","1350.5",56953
"2010-12-27 00:00:00+00","ZS.c.0","1341","1378.25","1339.25","1373.25",36842
"2010-12-28 00:00:00+00","ZS.c.0","1373","1385.25","1372","1373.75",34731
"2010-12-29 00:00:00+00","ZS.c.0","1374","1377.5","1363.5","1364.25",36853
"2010-12-30 00:00:00+00","ZS.c.0","1366","1374","1359.5","1369.25",20493
"2010-12-31 00:00:00+00","ZS.c.0","1367.25","1394.75","1366.5","1393.75",10362
"2011-01-03 00:00:00+00","ZS.c.0","1386.5","1399.5","1367","1371",7572
"2011-01-04 00:00:00+00","ZS.c.0","1369.5","1381.75","1350.25","1362.25",4894
"2011-01-05 00:00:00+00","ZS.c.0","1363.75","1387.25","1354","1383.5",6853
"2011-01-06 00:00:00+00","ZS.c.0","1384.75","1390","1368","1369",2725
"2011-01-07 00:00:00+00","ZS.c.0","1368.25","1372","1353","1356.25",2733
"2011-01-10 00:00:00+00","ZS.c.0","1360.5","1386.25","1360.5","1375.25",2281
"2011-01-11 00:00:00+00","ZS.c.0","1376.5","1380","1349","1352",1621
"2011-01-12 00:00:00+00","ZS.c.0","1353","1420.5","1353","1409.75",1163
"2011-01-13 00:00:00+00","ZS.c.0","1412.25","1426","1407.5","1415.75",1370
"2011-01-14 00:00:00+00","ZS.c.0","1413.25","1415","1398.75","1403.25",484
"2011-01-18 00:00:00+00","ZS.c.0","1412.25","1430","1408.25","1415",83280
"2011-01-19 00:00:00+00","ZS.c.0","1416.5","1431.75","1402.25","1415.5",113615
"2011-01-20 00:00:00+00","ZS.c.0","1413","1421","1383.5","1415",101329
"2011-01-21 00:00:00+00","ZS.c.0","1415.75","1427","1405","1412.5",100816
"2011-01-24 00:00:00+00","ZS.c.0","1412.5","1426.5","1396.75","1403.75",80569
"2011-01-25 00:00:00+00","ZS.c.0","1404.25","1408","1370.25","1372.5",107263
"2011-01-26 00:00:00+00","ZS.c.0","1375.5","1391","1364.25","1385",76427
"2011-01-27 00:00:00+00","ZS.c.0","1389.25","1400","1378","1399.75",74869
"2011-01-28 00:00:00+00","ZS.c.0","1401.5","1423.25","1392.5","1401",126193
"2011-01-31 00:00:00+00","ZS.c.0","1395.25","1413.25","1394.5","1411.75",72153
"2011-02-01 00:00:00+00","ZS.c.0","1413.5","1440.5","1408.25","1440",109164
"2011-02-02 00:00:00+00","ZS.c.0","1439.5","1452","1433.5","1446",76513
"2011-02-03 00:00:00+00","ZS.c.0","1446","1452.5","1434","1435.25",77851
"2011-02-04 00:00:00+00","ZS.c.0","1438.5","1442.75","1422.25","1434",72302
"2011-02-07 00:00:00+00","ZS.c.0","1438","1443.75","1421.25","1423.75",73321
"2011-02-08 00:00:00+00","ZS.c.0","1425","1435.5","1414","1434.5",95637
"2011-02-09 00:00:00+00","ZS.c.0","1437","1455.75","1435","1452",101244
"2011-02-10 00:00:00+00","ZS.c.0","1451.25","1455","1430","1431",93671
"2011-02-11 00:00:00+00","ZS.c.0","1433","1442.25","1410.25","1416.5",119700
"2011-02-14 00:00:00+00","ZS.c.0","1419","1424.75","1400","1405.25",111014
"2011-02-15 00:00:00+00","ZS.c.0","1403","1409.25","1364.75","1367.75",129930
"2011-02-16 00:00:00+00","ZS.c.0","1369","1376","1357","1365.75",109427
"2011-02-17 00:00:00+00","ZS.c.0","1366","1406.75","1366","1403.25",116815
"2011-02-18 00:00:00+00","ZS.c.0","1406.5","1410","1361.75","1363.5",107816
"2011-02-22 00:00:00+00","ZS.c.0","1379","1385.75","1298","1298.5",117360
"2011-02-23 00:00:00+00","ZS.c.0","1297","1322","1284.75","1321.5",70702
"2011-02-24 00:00:00+00","ZS.c.0","1321.5","1325.75","1299","1317.75",40288
"2011-02-25 00:00:00+00","ZS.c.0","1318.25","1388.5","1311.75","1362.25",35838
"2011-02-28 00:00:00+00","ZS.c.0","1367.5","1372.25","1349.5","1358.5",17000
"2011-03-01 00:00:00+00","ZS.c.0","1360.75","1369.25","1347.25","1365.25",7992
"2011-03-02 00:00:00+00","ZS.c.0","1367","1391.75","1364.5","1385.25",4545
"2011-03-03 00:00:00+00","ZS.c.0","1385","1408","1379","1403",2821
"2011-03-04 00:00:00+00","ZS.c.0","1402.25","1418","1389.75","1406.75",3415
"2011-03-07 00:00:00+00","ZS.c.0","1405.75","1411","1378.5","1387.25",2035
"2011-03-08 00:00:00+00","ZS.c.0","1389.25","1389.25","1368","1375.5",1782
"2011-03-09 00:00:00+00","ZS.c.0","1374.5","1377.5","1345","1345",1897
"2011-03-10 00:00:00+00","ZS.c.0","1345","1361.25","1318","1345.75",1048
